Reference Designator,Description,Manufacturer,Manufacturer Part Number,Suppliers,Package,Quantity,Capacitance,Voltage,Is Generic,Symbol Type,Centroid Not Specified,Resistance,Reach Svhc,Min Operating Temperature,Current Rating,Conn 3 Type,Ro Hscompliant,Component Link 1 Description,Max Operating Temperature,Pins,Imported,Tolerance,Vault Guid,Shielding,Datasheet Version,Verified Attributes,Component Link 1 Url,Footprint Variant Name 0,Ciiva Ids,Vault Revision,Release Date,Verified Geometry,Mount,Length,Import Ts,Radiation Hardening,Lead Pitch,Verified Pin Names,Package Description,Imported From,Conn 0 Type,Package Quantity,Verified Pad Assignment,Height,Packaging,Case Package,Conn 1 Type,Conn 2 Type
C1 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C2 C20 C21 C22 C23 C24 C25 C26 C27 C28 C29 C3 C30 C4 C5 C6 C7 C8 C9,Generic Capacitor (Non-Polarized) (1e-07F),Generic,Capacitor (1e-07F),,0603 (1608 metric),30,1e-07F,10v,true,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1,"Header - 5 pin, 0.1"" pitch",,1x5 Header,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1 M2 M3 M4,Mounting Hole M3,Generic,Mounting Hole M3,,,4,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,Generic Resistor (390),Generic,Resistor (390),,0603 (1608 metric),1,,,true,Resistor,,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U1 U10 U11 U12 U13 U14 U15 U16 U17 U18 U19 U2 U20 U21 U22 U23 U24 U25 U26 U27 U28 U29 U3 U30 U4 U5 U6 U7 U8 U9,ADAI-WS2812B-4,Adafruit Industries,WS2812B,,WS2812B,30,,,,,,,No SVHC,-55 degC,240 mA,input,true,Manufacturer URL,125 degC,2,yes,10%,F56B6EC9-4E76-4E2F-9058-8D3EE8A248DE,Unshielded,May-13,true,https://www.adafruit.com/,Manufacturer Recommended,20395447,33156DEA-FED9-4B72-92E0-2F21AD4FE014,1475030199,true,Through Hole,12.2 mm,1521859311,No,5 mm,true,"4-Pin Surface Mount Device, Body 5 x 5 mm, Pitch 3.3 mm",vault,power,200,true,12.2 mm,Bulk,Radial,output,power
